"Test.Date","County","New.Positives","Cumulative.Number.of.Positives","Total.Number.of.Tests.Performed","Cumulative.Number.of.Tests.Performed","Test...Positive","Geography","democratic_num","democratic_percent","republician_num","republician_percent","num_total_vote","Report.Date","Place.of.Fatality","Deaths.by.County.of.Residence"
"11/03/2020","Otsego",11,433,741,38509,"1.48%","COUNTY","12,975","46.21%","14,382","51.22%","28,080","11/03/2020",7,5
"11/03/2020","Putnam",9,1883,528,64642,"1.70%","COUNTY","24,955","45.27%","29,283","53.12%","55,122","11/03/2020",63,64
"11/03/2020","Queens",174,78187,14754,1607125,"1.18%","COUNTY","569,038","72.03%","212,665","26.92%","789,981","11/03/2020",4111,5140
"11/03/2020","Rensselaer",7,1142,2052,110753,"0.34%","COUNTY","40,969","51.59%","36,500","45.96%","79,409","11/03/2020",47,43
"11/03/2020","Richmond",49,17826,2344,389903,"2.09%","COUNTY","90,997","41.98%","123,320","56.89%","216,767","11/03/2020",764,765
"11/03/2020","Rockland",115,18581,3055,250932,"3.76%","COUNTY","75,802","50.30%","73,186","48.56%","150,702","11/03/2020",474,514
"11/03/2020","Saratoga",10,1458,1375,147898,"0.73%","COUNTY","68,471","51.62%","61,305","46.21%","132,655","11/03/2020",6,17
"11/03/2020","Schenectady",6,1650,1162,119969,"0.52%","COUNTY","42,465","56.58%","30,741","40.96%","75,047","11/03/2020",47,48
"11/03/2020","Schoharie",1,117,792,15434,"0.13%","COUNTY","5,345","34.02%","9,903","63.04%","15,710","11/03/2020",0,2
"11/03/2020","Schuyler",5,164,191,13782,"2.62%","COUNTY","3,903","39.97%","5,621","57.56%","9,766","11/03/2020",1,3
"11/03/2020","Seneca",1,155,97,20864,"1.03%","COUNTY","6,914","44.23%","8,329","53.28%","15,632","11/03/2020",0,2
"11/03/2020","St. Lawrence",6,442,342,89155,"1.75%","COUNTY","19,361","43.11%","24,608","54.80%","44,907","11/03/2020",5,5
"11/03/2020","Steuben",14,1145,483,54701,"2.90%","COUNTY","15,790","34.19%","29,474","63.83%","46,179","11/03/2020",59,71
"11/03/2020","Suffolk",74,49854,7486,1120188,"0.99%","COUNTY","381,021","49.27%","381,253","49.30%","773,287","11/03/2020",2068,2022
"11/03/2020","Sullivan",15,1852,312,39586,"4.81%","COUNTY","15,489","44.71%","18,665","53.87%","34,647","11/03/2020",33,37
"11/03/2020","Tioga",18,750,275,32784,"6.55%","COUNTY","9,634","38.48%","14,791","59.08%","25,036","11/03/2020",28,36
"11/03/2020","Tompkins",4,664,7999,488980,"0.05%","COUNTY","33,619","73.51%","11,096","24.26%","45,735","11/03/2020",3,0
"11/03/2020","Ulster",7,2575,782,124634,"0.90%","COUNTY","57,970","59.51%","37,590","38.59%","97,420","11/03/2020",55,87
"11/03/2020","Warren",1,471,264,40848,"0.38%","COUNTY","17,642","48.80%","17,699","48.96%","36,149","11/03/2020",31,30
"11/03/2020","Washington",2,358,400,36490,"0.50%","COUNTY","11,565","41.10%","15,941","56.65%","28,138","11/03/2020",11,14
"11/03/2020","Wayne",14,602,429,60894,"3.26%","COUNTY","17,456","39.03%","26,204","58.59%","44,727","11/03/2020",2,4
"11/03/2020","Westchester",134,41360,6358,878044,"2.11%","COUNTY","312,437","67.57%","144,731","31.30%","462,364","11/03/2020",1610,1473
"11/03/2020","Wyoming",3,219,160,26277,"1.88%","COUNTY","5,073","26.11%","13,898","71.52%","19,432","11/03/2020",3,5
"11/03/2020","Yates",2,147,51,13414,"3.92%","COUNTY","4,219","39.35%","6,208","57.89%","10,723","11/03/2020",6,6
